indicator_code,indicator_name,attribute_component,score,rationale
ERA 1.1.1,Stock status outcome,Population abundance-C1/1,3,"The indicator provides strong consideration of the attribute of Population abundance. The indicator aims to directly evaluate population abundance of the target stock (e.g., requirements regarding B current), and a high PI score requires that ""there is some quantitative evidence that the stock is healthy with no conflicting information."" These requirements correspond with the attribute in terms of a focus on high abundance or biomass of a species within a defined geographic range. Thus, the indicator fully addresses the conceptual aspects of the attribute."
ERA 1.1.1,Stock status outcome,Age structure-C1/1,2,"The indicator provides moderate consideration of the attribute of Age structure. Using the data-limited pathway, the PI directly mentions age structure being stable over time as evidence related to stock health. Under the non-data-limited pathway, spawning stock biomass (SSB) is mentioned as a common PI that fishery management bodies use in setting target reference points, such that age structure is often first considered in the evaluation of the PI but not necessarily so."
ERA 1.2.1,Harvest strategy,Responsive-C1/1,1,"The indicator provides weak consideration of the attribute of Responsive. Achieving a high PI score where ""the harvest strategy is responsive to the state of stock"" provides some evidence of responsiveness in management actions. However, beyond this, the PI does not include the extent to which disturbances are handled and resolved with sensitivity, readiness, speed, and accuracy iteratively. Thus, the indicator cannot be said to moderately correspond with the attribute component."
ERA 1.2.3,Information and monitoring,Knowledge diversity-C1/1,1,"The indicator provides weak consideration of the attribute of Knowledge diversity. Achieving the high PI score requirement of ""sufficient relevant information related to stock structure, stock productivity, fleet composition and other data are available to support the harvest strategy"" partially indicates and aims to assess the extent of information available to support the harvest strategy. However, the variety of origins in knowledge sources is missing, which is a key concept within this attribute. Moreover, individuals and communities do not necessarily themselves have a variety of knowledge sources from different origins."
ERA 1.2.3,Information and monitoring,Age structure-C1/1,1,"The indicator provides weak consideration of the attribute of Age structure. Achieving the high PI score requirement of ""sufficient relevant information related to stock structure"" would directly support/provide some evidence of understanding stock structure. However, the PI cannot be said to partially indicate or assess the extent to which the age distribution of individuals within the fished population is intact and well-distributed."
ERA 1.2.4,Assessment of stock status,Knowledge diversity-C1/1,1,"The indicator provides weak consideration of the attribute of Knowledge diversity. Achieving the high PI score requirement of ""an assessment has been recently conducted that is appropriate to the stock and HCRs"" provides some evidence of the variety of information available. However, the PI does not directly partially indicate or aim to assess knowledge diversity but includes a type of information that contributes to knowledge diversity. This information and that of related PIs relate to Western fisheries science rather than a diversity of knowledge sources. Additionally, the availability of this information to individuals and members of the community is not included in this PI."
ERA 2.2.1,Other species outcome,Species diversity-C1/1,1,"The indicator provides weak consideration of the attribute of Species diversity. Achieving the PI score requirement that ""main secondary species are highly likely to be above biologically based limits"" is within the scope of the attribute component Species diversity. However, the PI does not directly partially indicate or aim to assess the level of diversity of species within the broader ecosystem. The PI considers the fishery's impact on ""main species"" outside the fishery but does not consider or partially evaluate community diversity. Thus, the indicator cannot be said to partially indicate the attribute component."
ERA 2.2.3,Other species information,Knowledge diversity-C1/1,1,"The indicator provides weak consideration of the attribute of Knowledge diversity. Requiring ""qualitative information is adequate to estimate the impact of the UoA on the main non-target species"" provides some evidence of a type of information that contributes to knowledge diversity. However, this information and that of related PIs relate to Western fisheries science rather than a diversity of knowledge sources. Additionally, the availability of this information to individuals and members of the community is not included in this PI."
ERA 2.3.3,ETP species information,Knowledge diversity-C1/1,1,"The indicator provides weak consideration of the attribute of Knowledge diversity. Requiring ""adequate relevant information is collected to support management of UoA impacts on ETP species"" does not directly partially indicate or aim to assess knowledge diversity but includes a type of information that contributes to knowledge diversity. However, this information and that of related PIs relate to Western fisheries science rather than a diversity of knowledge sources. Additionally, the availability of this information to individuals and members of the community is not included in this PI."
ERA 2.4.1,Habitats outcome,Habitat diversity-C1/1,1,"The indicator provides weak consideration of the attribute of Habitat diversity. Achieving the PI score requirement of ""the UoA is highly unlikely to reduce structure and function of the commonly encountered habitats to a point where there would be serious or irreversible harm"" provides an example of a requirement that supports habitat quality. However, the PI cannot be said to partially indicate or aim to assess the range of suitable, adjacent, and available habitats that a target fish population can exploit."
