indicator_code,attribute_component,indicator_component_score,attribute,attribute_complexity,attribute_dimension
ERA 1.1.1,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 1.1.1,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 1.1.1,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 1.1.1,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 1.1.1,Accountable-C1,0,Accountable,multi-c,Governance
ERA 1.1.1,Accountable-C2,0,Accountable,multi-c,Governance
ERA 1.1.1,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 1.1.1,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 1.1.1,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 1.1.1,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 1.1.1,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 1.1.1,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 1.1.1,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 1.1.1,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 1.1.1,Knowledge diversity-C1/1,0,Knowledge diversity,single-c,Socio-economic
ERA 1.1.1,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 1.1.1,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 1.1.1,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 1.1.1,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 1.1.1,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 1.1.1,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 1.1.1,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 1.1.1,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 1.1.1,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 1.1.1,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 1.1.1,Transparent-C1,0,Transparent,multi-c,Governance
ERA 1.1.1,Transparent-C2,0,Transparent,multi-c,Governance
ERA 1.1.1,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 1.1.1,Age structure-C1/1,2,Age structure,single-c,Ecological
ERA 1.1.1,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 1.1.1,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 1.1.1,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 1.1.1,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 1.1.1,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 1.1.1,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 1.1.1,Population abundance-C1/1,3,Population abundance,single-c,Ecological
ERA 1.1.1,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 1.1.1,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 1.1.1,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 1.1.1,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 1.1.2,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 1.1.2,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 1.1.2,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 1.1.2,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
