indicator_code,attribute,attribute_complexity,attribute_dimension,indicator_attribute_score,assessment_c,assessment_principle,assessment,principle,indicator
ERA 1.1.1,Knowledge diversity,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Adaptive,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Age structure,single-c,Ecological,2,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Agency,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Cross-scale integration,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Ecosystem connectivity,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Habitat diversity,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Participatory,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Polycentric,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Population abundance,single-c,Ecological,3,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Resilience mindset,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Responsive,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Species diversity,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.1,Wealth and reserves,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock status outcome
ERA 1.1.2,Knowledge diversity,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Adaptive,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Age structure,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Agency,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Cross-scale integration,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Ecosystem connectivity,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Habitat diversity,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Participatory,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Polycentric,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Population abundance,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Resilience mindset,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Responsive,single-c,Governance,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Species diversity,single-c,Ecological,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.1.2,Wealth and reserves,single-c,Socio-economic,0,Outcome,ERA_P1,ERA,Sustainable fish stocks,Stock rebuilding outcome
ERA 1.2.1,Knowledge diversity,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Adaptive,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Age structure,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Agency,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Cross-scale integration,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Ecosystem connectivity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Habitat diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Participatory,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Polycentric,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Population abundance,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Resilience mindset,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Responsive,single-c,Governance,1,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Species diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.1,Wealth and reserves,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest strategy
ERA 1.2.2,Knowledge diversity,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
